v_km_s,BP1_S0,BP1_sigmaT_Maj,BP1_sigmaT_Dir,BP1_Phi_Maj,BP1_Phi_Dir,MAP_S0,MAP_sigmaT_Maj,MAP_sigmaT_Dir,MAP_Phi_Maj,MAP_Phi_Dir
3.0000,1.05586763e+02,7.00794336e-01,1.40158867e+00,1.50667261e+02,7.53336305e+01,2.89275737e+02,1.44407344e+00,2.88814688e+00,2.00319270e+02,1.00159635e+02
3.0754,1.05576370e+02,7.04609514e-01,1.40921903e+00,1.49836708e+02,7.49183542e+01,2.89153507e+02,1.44323784e+00,2.88647568e+00,2.00350558e+02,1.00175279e+02
3.1526,1.05565452e+02,7.08223510e-01,1.41644702e+00,1.49056690e+02,7.45283449e+01,2.89025222e+02,1.44235845e+00,2.88471690e+00,2.00383768e+02,1.00191884e+02
3.2318,1.05553982e+02,7.11641690e-01,1.42328338e+00,1.48324618e+02,7.41623090e+01,2.88890591e+02,1.44143340e+00,2.88286680e+00,2.00418965e+02,1.00209483e+02
3.3130,1.05541932e+02,7.14869686e-01,1.42973937e+00,1.47638002e+02,7.38190008e+01,2.88749309e+02,1.44046070e+00,2.88092139e+00,2.00456222e+02,1.00228111e+02
3.3962,1.05529273e+02,7.17913355e-01,1.43582671e+00,1.46994442e+02,7.34972212e+01,2.88601059e+02,1.43943822e+00,2.87887644e+00,2.00495620e+02,1.00247810e+02
3.4816,1.05515975e+02,7.20778727e-01,1.44155745e+00,1.46391634e+02,7.31958169e+01,2.88445508e+02,1.43836373e+00,2.87672747e+00,2.00537250e+02,1.00268625e+02
3.5690,1.05502006e+02,7.23471972e-01,1.44694394e+00,1.45827358e+02,7.29136791e+01,2.88282305e+02,1.43723487e+00,2.87446973e+00,2.00581208e+02,1.00290604e+02
3.6587,1.05487333e+02,7.25999351e-01,1.45199870e+00,1.45299486e+02,7.26497430e+01,2.88111097e+02,1.43604912e+00,2.87209824e+00,2.00627606e+02,1.00313803e+02
3.7506,1.05471918e+02,7.28367181e-01,1.45673436e+00,1.44805973e+02,7.24029866e+01,2.87931503e+02,1.43480387e+00,2.86960774e+00,2.00676559e+02,1.00338279e+02
3.8448,1.05455727e+02,7.30581798e-01,1.46116360e+00,1.44344860e+02,7.21724300e+01,2.87743122e+02,1.43349635e+00,2.86699269e+00,2.00728187e+02,1.00364093e+02
3.9414,1.05438720e+02,7.32649527e-01,1.46529905e+00,1.43914268e+02,7.19571340e+01,2.87545549e+02,1.43212365e+00,2.86424730e+00,2.00782627e+02,1.00391314e+02
4.0404,1.05420857e+02,7.34576643e-01,1.46915329e+00,1.43512400e+02,7.17561998e+01,2.87338358e+02,1.43068274e+00,2.86136547e+00,2.00840026e+02,1.00420013e+02
4.1419,1.05402094e+02,7.36369351e-01,1.47273870e+00,1.43137535e+02,7.15687676e+01,2.87121095e+02,1.42917042e+00,2.85834083e+00,2.00900531e+02,1.00450265e+02
4.2460,1.05382387e+02,7.38033754e-01,1.47606751e+00,1.42788031e+02,7.13940157e+01,2.86893302e+02,1.42758335e+00,2.85516670e+00,2.00964309e+02,1.00482155e+02
4.3526,1.05361689e+02,7.39575834e-01,1.47915167e+00,1.42462320e+02,7.12311599e+01,2.86654490e+02,1.42591804e+00,2.85183608e+00,2.01031533e+02,1.00515767e+02
4.4620,1.05339951e+02,7.41001428e-01,1.48200286e+00,1.42158904e+02,7.10794520e+01,2.86404164e+02,1.42417085e+00,2.84834168e+00,2.01102392e+02,1.00551196e+02
4.5741,1.05317121e+02,7.42316211e-01,1.48463242e+00,1.41876358e+02,7.09381792e+01,2.86141790e+02,1.42233795e+00,2.84467587e+00,2.01177077e+02,1.00588539e+02
4.6890,1.05293145e+02,7.43525684e-01,1.48705137e+00,1.41613326e+02,7.08066629e+01,2.85866832e+02,1.42041536e+00,2.84083068e+00,2.01255802e+02,1.00627902e+02
4.8068,1.05267966e+02,7.44635154e-01,1.48927031e+00,1.41368516e+02,7.06842579e+01,2.85578720e+02,1.41839894e+00,2.83679780e+00,2.01338786e+02,1.00669396e+02
4.9275,1.05241526e+02,7.45649727e-01,1.49129945e+00,1.41140702e+02,7.05703510e+01,2.85276874e+02,1.41628436e+00,2.83256857e+00,2.01426269e+02,1.00713139e+02
5.0513,1.05213761e+02,7.46574300e-01,1.49314860e+00,1.40928721e+02,7.04643605e+01,2.84960675e+02,1.41406711e+00,2.82813397e+00,2.01518494e+02,1.00759256e+02
5.1782,1.05184607e+02,7.47413551e-01,1.49482710e+00,1.40731469e+02,7.03657345e+01,2.84629504e+02,1.41174252e+00,2.82348461e+00,2.01615735e+02,1.00807882e+02
5.3083,1.05153995e+02,7.48171935e-01,1.49634387e+00,1.40547901e+02,7.02739505e+01,2.84282703e+02,1.40930571e+00,2.81861071e+00,2.01718266e+02,1.00859158e+02
5.4417,1.05121854e+02,7.48853680e-01,1.49770736e+00,1.40377028e+02,7.01885138e+01,2.83919603e+02,1.40675165e+00,2.81350213e+00,2.01826386e+02,1.00913235e+02
5.5784,1.05088108e+02,7.49462788e-01,1.49892558e+00,1.40217913e+02,7.01089566e+01,2.83539492e+02,1.40407513e+00,2.80814833e+00,2.01940399e+02,1.00970269e+02
5.7185,1.05052680e+02,7.50003027e-01,1.50000605e+00,1.40069674e+02,7.00348371e+01,2.83141653e+02,1.40127076e+00,2.80253840e+00,2.02060631e+02,1.01030428e+02
5.8622,1.05015487e+02,7.50477941e-01,1.50095588e+00,1.39931477e+02,6.99657384e+01,2.82725341e+02,1.39833300e+00,2.79666103e+00,2.02187419e+02,1.01093889e+02
6.0094,1.04976443e+02,7.50890843e-01,1.50178169e+00,1.39802534e+02,6.99012670e+01,2.82289791e+02,1.39525619e+00,2.79050455e+00,2.02321117e+02,1.01160843e+02
6.1604,1.04935458e+02,7.51244823e-01,1.50248965e+00,1.39682105e+02,6.98410524e+01,2.81834198e+02,1.39203457e+00,2.78405693e+00,2.02462068e+02,1.01231478e+02
6.3152,1.04892439e+02,7.51542749e-01,1.50308550e+00,1.39569491e+02,6.97847454e+01,2.81357758e+02,1.38866231e+00,2.77730582e+00,2.02610638e+02,1.01306005e+02
6.4738,1.04847286e+02,7.51787270e-01,1.50357454e+00,1.39464035e+02,6.97320177e+01,2.80859630e+02,1.38513360e+00,2.77023855e+00,2.02767177e+02,1.01384637e+02
6.6364,1.04799898e+02,7.51980823e-01,1.50396165e+00,1.39365120e+02,6.96825602e+01,2.80338945e+02,1.38144268e+00,2.76284224e+00,2.02932013e+02,1.01467590e+02
6.8031,1.04750166e+02,7.52125637e-01,1.50425127e+00,1.39272165e+02,6.96360827e+01,2.79794824e+02,1.37758402e+00,2.75510380e+00,2.03105451e+02,1.01555093e+02
6.9741,1.04697978e+02,7.52223737e-01,1.50444747e+00,1.39184625e+02,6.95923123e+01,2.79226360e+02,1.37355238e+00,2.74701008e+00,2.03287740e+02,1.01647374e+02
7.1493,1.04643218e+02,7.52276952e-01,1.50455390e+00,1.39101985e+02,6.95509927e+01,2.78632633e+02,1.36934303e+00,2.73854794e+00,2.03479060e+02,1.01744661e+02
7.3289,1.04585761e+02,7.52286916e-01,1.50457383e+00,1.39023767e+02,6.95118835e+01,2.78012687e+02,1.36495195e+00,2.72970443e+00,2.03679469e+02,1.01847176e+02
7.5130,1.04525481e+02,7.52255081e-01,1.50451016e+00,1.38949518e+02,6.94747588e+01,2.77365556e+02,1.36037608e+00,2.72046694e+00,2.03888881e+02,1.01955128e+02
